Date,AAPL,AMGN,AMZN,AXP,BA,BTC-USD,CAT,CRM,CSCO,CVX,DIS,GC=F,GLD,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT,^IRX,^TNX
2015-01-02,24.23755074,116.436554,15.42599964,79.46622467,113.6572266,315.0320129,69.32037354,58.62333298,19.81561661,70.20956421,85.94352722,1186.0,114.0800018,157.1490784,80.41870117,71.67829895,98.12304688,76.95558167,46.72093201,29.99260521,71.09454346,96.10853577,39.10074997,39.85845184,41.64569473,0.4830382764,66.51831818,78.92681885,83.0991745,85.04850769,61.34097672,26.57320213,23.26656342,0.01499999966,2.122999907
2015-01-05,23.55474663,115.0528564,15.10949993,77.3646698,112.8700638,274.473999,65.66123199,57.56446838,19.42087936,67.40314484,84.68758392,1203.900024,115.8000031,152.2424316,78.73149872,70.31238556,96.57911682,76.41809845,45.27046585,29.99260521,70.30934906,93.94106293,39.68190002,39.49192047,40.97518539,0.4748796225,66.20207977,78.6922226,82.0982666,83.64759827,59.98694229,26.35250473,23.19885254,0.003000000026,2.039000034
2015-01-06,23.55695915,111.3462067,14.76449966,75.71588898,111.5406265,286.1889954,65.2387085,56.60456467,19.41369438,67.37197113,84.23838806,1219.300049,117.1200027,149.162674,78.490448,70.14789581,94.49625397,76.04258728,44.09667587,30.22034454,70.43894958,92.93930054,41.24071884,38.9122963,40.73415756,0.4604821503,65.9005127,78.45462036,81.36531067,83.47882843,59.60041809,26.61847115,23.37761497,0.01999999955,1.963000059
2015-01-07,23.88728142,115.2349548,14.92099953,77.36952209,113.272377,294.3370056,66.24971771,56.33737946,19.59311676,67.31585693,85.10012054,1210.599976,116.4300003,151.3855743,81.18069458,70.65564728,93.878685,77.72128296,44.16394806,30.59758186,71.66630554,93.61299133,42.12269974,39.40667343,41.57558823,0.459282279,66.24622345,79.79294586,82.75241852,84.33118439,60.39894485,26.44669533,23.99787903,0.01999999955,1.953999996
2015-01-08,24.8050766,114.8198776,15.02299976,78.46623993,115.2752686,283.348999,66.92871857,57.98009872,19.74384117,68.85626984,85.98018646,1208.400024,115.9400024,153.8025665,82.97673035,71.94287872,95.91913605,78.33238983,45.15086365,30.96768379,71.93309021,95.85665894,42.97049332,40.56594849,42.53530884,0.476559341,67.00376129,81.97634888,84.47052002,88.35657501,61.20903778,27.01353264,24.50437927,0.01799999923,2.016000032
2015-01-09,24.83168411,113.4070892,14.8465004,77.47234344,115.0478516,290.4079895,66.12898254,57.55457306,19.94479561,67.48423767,86.40188599,1216.0,117.2600021,151.4422302,81.55387115,70.7486496,96.33692169,77.26482391,44.36582565,30.62604141,71.05643463,94.67916107,42.77220917,40.22498322,42.06640244,0.4784790874,66.37858582,82.52972412,83.40654755,87.52957153,60.30172348,26.77305984,24.20101738,0.01499999966,1.970999956
2015-01-12,24.21982002,113.7639389,14.57050037,76.68408203,114.4618683,267.79599,65.55558777,57.12904739,20.13139534,66.03114319,86.5943985,1232.699951,118.5599976,149.5991821,81.18843842,70.40533447,94.72026062,76.99971771,43.98452377,30.34846497,70.90396881,94.16364288,42.59444809,39.72208023,42.00942993,0.4724801481,66.13587189,81.53123474,82.91002655,86.54217529,60.18368149,26.95627594,24.38248634,0.01300000027,1.911999941
2015-01-13,24.43486023,112.9774399,14.73700047,76.45274353,114.7242661,225.8609924,65.16325378,57.36655426,20.1672802,64.98344421,87.26361847,1234.300049,118.1600037,149.4860077,80.65196991,70.90595245,94.9442749,77.13225555,43.99200439,30.34135056,70.76676178,94.09335327,42.51924896,39.51749802,41.63692856,0.4717602134,66.41536713,80.94179535,83.03614807,86.98101044,60.35959625,27.01353264,24.19018936,0.02300000004,1.889999986
2015-01-14,24.34174728,112.9920197,14.66349983,74.60203552,114.0333252,178.1029968,64.9369278,56.6540451,20.03809547,64.7963562,86.38354492,1234.400024,117.9700012,145.6868134,79.80448151,70.57699585,94.33279419,76.57270813,42.47425842,30.29152679,69.78335571,93.63642883,42.82691193,39.17652893,41.06721878,0.473679781,66.18734741,80.96582031,81.78302002,87.20045471,59.151371,26.89328575,23.45886993,0.02500000037,1.837000012
2015-01-15,23.68110466,110.6325302,14.34749985,73.58243561,113.8233948,209.8439941,64.13825226,54.53633118,19.67206764,64.02928925,86.49356079,1264.699951,120.9400024,144.2803497,78.53710175,69.447052,93.58802795,75.46092987,41.11353302,30.16342354,69.66136932,93.53093719,42.30731201,38.76736832,40.6728096,0.4703204036,66.0917511,81.37786102,82.12979126,88.15403748,58.5889473,26.96772957,23.66743279,0.02300000004,1.774999976
2015-01-16,23.49710464,115.373291,14.5369997,73.71954346,114.3831635,208.0970001,63.78832626,56.05039597,19.86584663,65.55718994,87.25444031,1276.900024,122.5199966,143.2618103,80.95517731,70.24087524,95.144104,76.60214996,41.8163147,30.27018166,69.74525452,94.9017868,43.09355545,39.41520691,40.75170135,0.478959024,67.11407471,82.34927368,83.96609497,89.25955963,59.01018906,27.47731209,23.50220871,0.01799999923,1.815000057
2015-01-20,24.1023159,114.7688828,14.47200012,74.76485443,114.7679749,211.3150024,63.87201309,56.69363403,20.14574432,66.39910126,86.85106659,1294.199951,124.1999969,141.9684906,80.27875519,70.78438568,95.02907562,74.57737732,41.65183258,30.7185688,69.21923828,94.86662292,42.80639648,39.54306793,41.0234108,0.4803987443,67.06996155,81.95529175,83.41443634,89.13298035,59.44764709,27.58609962,23.48054695,0.00800000038,1.807000041
2015-01-21,24.28632355,114.6086884,14.86250019,75.11614227,115.8087997,226.8970032,64.9369278,57.10926437,19.98068428,67.45304871,86.32855988,1293.699951,124.2300034,143.1971283,80.49642181,70.97743988,92.08647919,75.02653503,41.78641129,30.86091423,68.8685379,95.21810913,42.49874496,39.14243698,40.9795723,0.4871177077,67.2062912,82.16880798,82.76028442,92.25541687,59.54948044,27.62618256,23.46700287,0.01999999955,1.853000045
2015-01-22,24.91814423,116.2034607,15.51599979,72.28865814,118.6338348,233.4060059,66.03985596,57.39624405,20.45436096,67.92703247,87.22693634,1300.699951,125.2300034,147.1499176,82.47134399,71.07759094,94.08455658,76.39601135,43.05741882,31.15984917,69.28784943,97.18058777,42.79271317,40.17385483,42.00504684,0.495516181,67.86552429,83.33869934,85.25073242,96.07830048,59.62355423,27.36852646,23.91662598,0.01499999966,1.896000028
