asset,pearson_btc,pearson_gold
AAPL,0.03372206820812473,0.190073722032766
AMGN,0.026586047354759265,0.10505110465470652
AMZN,0.03499261102048018,0.17100826930946902
AXP,-0.0022660336394732996,0.1992601665793866
BA,0.05382843975470782,0.15905065092127257
CAT,0.028511060827191452,0.14241030370428687
CRM,0.034535223296568156,0.1763069952527465
CSCO,0.0261104220532827,0.1669151482729143
CVX,0.08453555502956252,0.12839427268429712
DIS,0.02164275405704198,0.20431617414769057
GC=F,0.8903604656665232,0.08333663908919273
GS,-0.04791807235425192,0.2060782724334365
HD,0.056536931223904074,0.15395358282519186
HON,0.04679788412355324,0.14682957003181143
IBM,0.030590515340408523,0.11551326673261543
JNJ,0.052807774478218904,0.08411508021036512
JPM,-0.08063019317378983,0.16894900488755624
KO,0.09662905407518306,0.08430159380413835
MCD,0.05891270622732847,0.10503734523441713
MMM,0.018133014228349283,0.12224899080228464
MRK,0.0002177505965698416,0.08280297559254615
MSFT,0.020838012418943442,0.21052648556124864
NKE,0.010786864479658483,0.16428309496621288
NVDA,0.024769270149082027,0.19360448770900268
PG,0.08975373337204928,0.0869093828919739
SHW,0.05408810495624872,0.1025275459603132
TRV,0.021207028854151287,0.09319069385978872
UNH,0.007928470528089468,0.09002002583960146
V,0.008723494917466303,0.18013765333435705
VZ,0.06531055688059091,0.07239147323425835
WMT,0.05125979220846649,0.12202622672174696
^IRX,-0.037092099848149776,-0.009473269609389271
"^TNX
",-0.3108998256378533,0.021859324358518454
